('sayın', 'başkan'),27219.0,7.947874338578774e-07
('sıralarından', 'alkışlar'),18197.0,5.31352314613741e-07
('türkiye', 'büyük'),18085.0,5.280820049977642e-07
('büyük', 'millet'),18007.0,5.258044679437803e-07
('değerli', 'milletvekilleri'),17827.0,5.205486132038175e-07
('soru', 'önergesi'),17530.0,5.118764528828788e-07
('başkan', 'sayın'),15412.0,4.500325621093163e-07
('millet', 'meclisi'),13179.0,3.8483076414077757e-07
('yazılı', 'soru'),11624.0,3.394260190260988e-07
('başkanlığa', 'geliş'),11238.0,3.281551305281785e-07
