('türkiye', 'büyük'),340.0,2.210539981877597e-06
('büyük', 'millet'),340.0,2.210539981877597e-06
('ak', 'parti̇'),325.0,2.1131593659358526e-06
('sıralarından', 'alkışlar'),318.0,2.0677150784963723e-06
('sayın', 'başkan'),312.0,2.0287628321196746e-06
('parti̇', 'sıralarından'),258.0,1.6781926147293947e-06
('başkan', 'sayın'),221.0,1.4379870954064252e-06
('millet', 'meclisi'),216.0,1.4055268900925105e-06
('türkiye', 'nin'),133.0,8.666874818815249e-07
('oktay', 'vural'),131.0,8.53703399755959e-07
